# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.3437500e+01
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
51             	1.1413098e-01	-1.8458585e-05	3.0338026e-04	1.4380628e-02	-1.4139346e-05	9.2355435e-04	7.1446118e-02	4.2684862e-02	9.1432506e-04	-9.3278364e-04	1.3755078e-04	1.6582948e-04
52             	1.1417223e-01	-2.0865142e-05	3.0266748e-04	1.4381022e-02	1.1009984e-06	8.9175042e-04	7.1467138e-02	4.2705095e-02	8.8131785e-04	-9.0218300e-04	1.5243474e-04	1.5023274e-04
53             	1.1420731e-01	-2.2988308e-05	3.0227997e-04	1.4381360e-02	1.1165222e-05	8.6294311e-04	7.1485013e-02	4.2722292e-02	8.5144896e-04	-8.7443727e-04	1.6230521e-04	1.3997476e-04
54             	1.1423743e-01	-2.4802339e-05	3.0216389e-04	1.4381654e-02	1.6799060e-05	8.3781340e-04	7.1500371e-02	4.2737063e-02	8.2541223e-04	-8.5021457e-04	1.6788100e-04	1.3428288e-04
55             	1.1426358e-01	-2.6300294e-05	3.0226573e-04	1.4381912e-02	1.8771814e-05	8.1671863e-04	7.1513704e-02	4.2749881e-02	8.0356848e-04	-8.2986878e-04	1.6990468e-04	1.3236105e-04
56             	1.1428650e-01	-2.7493970e-05	3.0253326e-04	1.4382138e-02	1.7859402e-05	7.9968807e-04	7.1525388e-02	4.2761113e-02	7.8594108e-04	-8.1343505e-04	1.6912603e-04	1.3340723e-04
57             	1.1430676e-01	-2.8408670e-05	3.0291936e-04	1.4382337e-02	1.4778648e-05	7.8650371e-04	7.1535719e-02	4.2771044e-02	7.7229937e-04	-8.0070804e-04	1.6623833e-04	1.3668103e-04
58             	1.1432479e-01	-2.9078837e-05	3.0338210e-04	1.4382513e-02	1.0179369e-05	7.7676580e-04	7.1544910e-02	4.2779884e-02	7.6222638e-04	-7.9130522e-04	1.6187042e-04	1.4151168e-04
59             	1.1434093e-01	-2.9543559e-05	3.0388758e-04	1.4382668e-02	4.6039128e-06	7.6996990e-04	7.1553136e-02	4.2787799e-02	7.5519812e-04	-7.8474168e-04	1.5654770e-04	1.4733988e-04
60             	1.1435543e-01	-2.9842208e-05	3.0440860e-04	1.4382805e-02	-1.5039514e-06	7.6557943e-04	7.1560521e-02	4.2794911e-02	7.5065833e-04	-7.8050054e-04	1.5070035e-04	1.5370825e-04
