# Force coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 1.0000000e+00
# lRef         : 6.0000000e-01
# Aref         : 1.2000000e+00
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cs             	Cl             	CmRoll         	CmPitch        	CmYaw          	Cd(f)          	Cd(r)          	Cs(f)          	Cs(r)          	Cl(f)          	Cl(r)          
35             	1.8527044e-01	-9.7464822e-02	3.7271117e-08	4.0801489e-08	5.9064532e-08	8.1335592e-03	9.2635262e-02	9.2635180e-02	-4.0598852e-02	-5.6865970e-02	7.7700091e-08	-4.0428974e-08
36             	1.8527050e-01	-9.7464969e-02	2.9606800e-08	3.1967772e-08	4.5686320e-08	8.1333573e-03	9.2635281e-02	9.2635218e-02	-4.0599127e-02	-5.6865842e-02	6.0489720e-08	-3.0882920e-08
37             	1.8527060e-01	-9.7465109e-02	2.3475121e-08	2.4969076e-08	3.5223467e-08	8.1331752e-03	9.2635324e-02	9.2635274e-02	-4.0599379e-02	-5.6865730e-02	4.6961028e-08	-2.3485906e-08
38             	1.8527072e-01	-9.7465243e-02	1.8669561e-08	1.9365109e-08	2.6938393e-08	8.1330177e-03	9.2635382e-02	9.2635343e-02	-4.0599604e-02	-5.6865639e-02	3.6273174e-08	-1.7603613e-08
39             	1.8527086e-01	-9.7465365e-02	1.4870610e-08	1.5084862e-08	2.0637110e-08	8.1328865e-03	9.2635445e-02	9.2635415e-02	-4.0599796e-02	-5.6865569e-02	2.8072415e-08	-1.3201806e-08
40             	1.8527099e-01	-9.7465473e-02	1.1859643e-08	1.1809780e-08	1.5857803e-08	8.1327793e-03	9.2635509e-02	9.2635486e-02	-4.0599957e-02	-5.6865516e-02	2.1787625e-08	-9.9279816e-09
41             	1.8527112e-01	-9.7465564e-02	9.4768195e-09	9.2795520e-09	1.2217887e-08	8.1326929e-03	9.2635569e-02	9.2635550e-02	-4.0600089e-02	-5.6865475e-02	1.6956296e-08	-7.4794770e-09
42             	1.8527122e-01	-9.7465639e-02	7.5926958e-09	7.3077707e-09	9.4314040e-09	8.1326247e-03	9.2635620e-02	9.2635605e-02	-4.0600195e-02	-5.6865444e-02	1.3227752e-08	-5.6350561e-09
43             	1.8527131e-01	-9.7465697e-02	6.1010109e-09	5.7615692e-09	7.2882702e-09	8.1325725e-03	9.2635661e-02	9.2635649e-02	-4.0600276e-02	-5.6865421e-02	1.0338776e-08	-4.2377647e-09
44             	1.8527137e-01	-9.7465738e-02	4.9165271e-09	4.5443564e-09	5.6342264e-09	8.1325339e-03	9.2635691e-02	9.2635682e-02	-4.0600335e-02	-5.6865403e-02	8.0924899e-09	-3.1759628e-09
45             	1.8527142e-01	-9.7465766e-02	3.9724075e-09	3.5841471e-09	4.3549974e-09	8.1325067e-03	9.2635712e-02	9.2635705e-02	-4.0600376e-02	-5.6865390e-02	6.3412012e-09	-2.3687937e-09
46             	1.8527144e-01	-9.7465781e-02	3.2169014e-09	2.8260545e-09	3.3647661e-09	8.1324887e-03	9.2635724e-02	9.2635718e-02	-4.0600402e-02	-5.6865379e-02	4.9732168e-09	-1.7563154e-09
47             	1.8527144e-01	-9.7465781e-02	2.5821744e-09	2.2464738e-09	2.6254436e-09	8.1324776e-03	9.2635723e-02	9.2635719e-02	-4.0600413e-02	-5.6865368e-02	3.9165308e-09	-1.3343564e-09
48             	1.8527143e-01	-9.7465777e-02	2.0868372e-09	1.7132852e-09	1.9536565e-09	8.1324717e-03	9.2635719e-02	9.2635715e-02	-4.0600417e-02	-5.6865360e-02	2.9970751e-09	-9.1023787e-10
49             	1.8527142e-01	-9.7465769e-02	1.6916276e-09	1.3236210e-09	1.4651415e-09	8.1324704e-03	9.2635712e-02	9.2635709e-02	-4.0600414e-02	-5.6865355e-02	2.3109553e-09	-6.1932776e-10
50             	1.8527141e-01	-9.7465761e-02	1.3716318e-09	1.0437828e-09	1.1210533e-09	8.1324722e-03	9.2635704e-02	9.2635702e-02	-4.0600408e-02	-5.6865352e-02	1.8068692e-09	-4.3523744e-10
51             	1.8527139e-01	-9.7465751e-02	1.1133548e-09	8.3596871e-10	8.7455892e-10	8.1324756e-03	9.2635695e-02	9.2635694e-02	-4.0600400e-02	-5.6865351e-02	1.4312363e-09	-3.1788153e-10
