# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
67             	(7.6878287e-01 2.0647942e-03 2.0023888e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6878287e-01 2.0647942e-03 2.0023888e-04)
68             	(7.6882450e-01 2.0665205e-03 1.9959717e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6882450e-01 2.0665205e-03 1.9959717e-04)
69             	(7.6886183e-01 2.0680223e-03 1.9896724e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6886183e-01 2.0680223e-03 1.9896724e-04)
70             	(7.6889532e-01 2.0693283e-03 1.9836710e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6889532e-01 2.0693283e-03 1.9836710e-04)
71             	(7.6892530e-01 2.0704630e-03 1.9780400e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6892530e-01 2.0704630e-03 1.9780400e-04)
72             	(7.6895214e-01 2.0714455e-03 1.9728586e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6895214e-01 2.0714455e-03 1.9728586e-04)
73             	(7.6897608e-01 2.0722910e-03 1.9681414e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6897608e-01 2.0722910e-03 1.9681414e-04)
74             	(7.6899757e-01 2.0730230e-03 1.9638623e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6899757e-01 2.0730230e-03 1.9638623e-04)
75             	(7.6901684e-01 2.0736559e-03 1.9599953e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6901684e-01 2.0736559e-03 1.9599953e-04)
76             	(7.6903405e-01 2.0742001e-03 1.9565100e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6903405e-01 2.0742001e-03 1.9565100e-04)
77             	(7.6904944e-01 2.0746623e-03 1.9533800e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6904944e-01 2.0746623e-03 1.9533800e-04)
78             	(7.6906323e-01 2.0750570e-03 1.9505706e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6906323e-01 2.0750570e-03 1.9505706e-04)
79             	(7.6907555e-01 2.0753992e-03 1.9480612e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6907555e-01 2.0753992e-03 1.9480612e-04)
80             	(7.6908658e-01 2.0757001e-03 1.9458357e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6908658e-01 2.0757001e-03 1.9458357e-04)
81             	(7.6909646e-01 2.0759685e-03 1.9438484e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6909646e-01 2.0759685e-03 1.9438484e-04)
82             	(7.6910527e-01 2.0762052e-03 1.9420750e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6910527e-01 2.0762052e-03 1.9420750e-04)
83             	(7.6911312e-01 2.0764107e-03 1.9405006e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6911312e-01 2.0764107e-03 1.9405006e-04)
84             	(7.6912010e-01 2.0765886e-03 1.9391103e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6912010e-01 2.0765886e-03 1.9391103e-04)
85             	(7.6912634e-01 2.0767430e-03 1.9378785e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6912634e-01 2.0767430e-03 1.9378785e-04)
86             	(7.6913191e-01 2.0768695e-03 1.9367796e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6913191e-01 2.0768695e-03 1.9367796e-04)
87             	(7.6913689e-01 2.0769640e-03 1.9357903e-04)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(7.6913689e-01 2.0769640e-03 1.9357903e-04)
