# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
36             	(1.1116230e-01 1.7764080e-08 5.8478982e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116230e-01 1.7764080e-08 5.8478982e-02)
37             	(1.1116236e-01 1.4085073e-08 5.8479065e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116236e-01 1.4085073e-08 5.8479065e-02)
38             	(1.1116243e-01 1.1201736e-08 5.8479146e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116243e-01 1.1201736e-08 5.8479146e-02)
39             	(1.1116252e-01 8.9223658e-09 5.8479219e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116252e-01 8.9223658e-09 5.8479219e-02)
40             	(1.1116260e-01 7.1157861e-09 5.8479284e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116260e-01 7.1157861e-09 5.8479284e-02)
41             	(1.1116267e-01 5.6860917e-09 5.8479339e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116267e-01 5.6860917e-09 5.8479339e-02)
42             	(1.1116273e-01 4.5556175e-09 5.8479383e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116273e-01 4.5556175e-09 5.8479383e-02)
43             	(1.1116279e-01 3.6606066e-09 5.8479418e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116279e-01 3.6606066e-09 5.8479418e-02)
44             	(1.1116282e-01 2.9499163e-09 5.8479443e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116282e-01 2.9499163e-09 5.8479443e-02)
45             	(1.1116285e-01 2.3834445e-09 5.8479459e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116285e-01 2.3834445e-09 5.8479459e-02)
46             	(1.1116287e-01 1.9301408e-09 5.8479469e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116287e-01 1.9301408e-09 5.8479469e-02)
47             	(1.1116287e-01 1.5493046e-09 5.8479469e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116287e-01 1.5493046e-09 5.8479469e-02)
48             	(1.1116286e-01 1.2521023e-09 5.8479466e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116286e-01 1.2521023e-09 5.8479466e-02)
49             	(1.1116285e-01 1.0149765e-09 5.8479462e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116285e-01 1.0149765e-09 5.8479462e-02)
50             	(1.1116284e-01 8.2297909e-10 5.8479456e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116284e-01 8.2297909e-10 5.8479456e-02)
51             	(1.1116283e-01 6.6801286e-10 5.8479451e-02)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(1.1116283e-01 6.6801286e-10 5.8479451e-02)
